"location","indicator","measure","Unit","Date","Value"
"United States","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","10663174"
"United States","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","7.7"
"United States","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","884000"
"United States","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","23.4"
"United States","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","447000"
"United States","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","536"
"United States","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","63"
"United States","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","1548000"
"United States","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","21.62"
"United States","Adults with AMI Reporting Unmet Need","Percentage","%","2017","20.1"
"United States","Adults with AMI Reporting Unmet Need","Number","Number","2017","8752000"
"United States","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","344609"
"United States","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","24280000"
"United States","Adults with AMI who are Uninsured","Percentage","%","2017","14.7"
"United States","Adults with AMI who are Uninsured","Number","Number","2017","6389000"
"United States","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","7.63"
"United States","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","55.8"
"Alabama","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","43"
"Alabama","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","222000"
"Alabama","Adults with AMI who are Uninsured","Percentage","%","2017","19.3"
"Alabama","Adults with AMI who are Uninsured","Number","Number","2017","136000"
"Alabama","Adults with AMI Reporting Unmet Need","Percentage","%","2017","19.8"
"Alabama","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","50"
"Alabama","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","2"
"Alabama","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","20"
"Alabama","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","1260"
"Alabama","Adults with AMI Reporting Unmet Need","Number","Number","2017","140000"
"Alabama","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","25"
"Alabama","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","51"
"Alabama","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","54"
"Alabama","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","48"
"Alabama","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","36"
"Alabama","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","44"
"Alabama","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","45"
"Alabama","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","1348"
"Alabama","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","261471"
"Alabama","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","11.5"
"Alabama","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","25.65"
"Alabama","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","24000"
"Alabama","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","67.1"
"Alabama","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","44"
"Alabama","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","4000"
"Alabama","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","20.8"
"Alabama","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","17000"
"Alaska","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","53.1"
"Alaska","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","28"
"Alaska","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","30"
"Alaska","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","5"
"Alaska","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","7.6"
"Alaska","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","2000"
"Alaska","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","665"
"Alaska","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","20"
"Alaska","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","35.1"
"Alaska","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","1000"
"Alaska","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","3000"
"Alaska","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","20.98"
"Alaska","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","23610"
"Alaska","Adults with AMI Reporting Unmet Need","Percentage","%","2017","19.2"
"Alaska","Adults with AMI Reporting Unmet Need","Number","Number","2017","18000"
"Alaska","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","63.9"
"Alaska","Adults with AMI who are Uninsured","Percentage","%","2017","14.9"
"Alaska","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","4"
"Alaska","Adults with AMI who are Uninsured","Number","Number","2017","14000"
"Alaska","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","436000"
"Alaska","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","300"
"Alaska","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","30"
"Alaska","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","50"
"Alaska","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","5.66"
"Alaska","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","38"
"Alaska","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","15"
"Alaska","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","9"
"Arizona","Adults with AMI Reporting Unmet Need","Number","Number","2017","193000"
"Arizona","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","58.5"
"Arizona","Adults with AMI who are Uninsured","Percentage","%","2017","15.9"
"Arizona","Adults with AMI who are Uninsured","Number","Number","2017","147000"
"Arizona","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","249660"
"Arizona","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","43"
"Arizona","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","26"
"Arizona","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","47"
"Arizona","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","29"
"Arizona","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","7.31"
"Arizona","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","850"
"Arizona","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","7456"
"Arizona","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","34"
"Arizona","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","39"
"Arizona","Adults with AMI Reporting Unmet Need","Percentage","%","2017","20.8"
"Arizona","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","33"
"Arizona","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","23"
"Arizona","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","599000"
"Arizona","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","24.14"
"Arizona","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","38"
"Arizona","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","9.1"
"Arizona","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","21000"
"Arizona","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","40"
"Arizona","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","47000"
"Arizona","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","9000"
"Arizona","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","62.1"
"Arizona","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","21.4"
"Arkansas","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","10.5"
"Arkansas","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","9000"
"Arkansas","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","25.1"
"Arkansas","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","51"
"Arkansas","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","39"
"Arkansas","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","4000"
"Arkansas","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","66.6"
"Arkansas","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","17000"
"Arkansas","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","24.11"
"Arkansas","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","510"
"Arkansas","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","17"
"Arkansas","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","26"
"Arkansas","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","27"
"Arkansas","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","38"
"Arkansas","Adults with AMI Reporting Unmet Need","Percentage","%","2017","19.4"
"Arkansas","Adults with AMI Reporting Unmet Need","Number","Number","2017","89000"
"Arkansas","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","54.8"
"Arkansas","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","79000"
"Arkansas","Adults with AMI who are Uninsured","Percentage","%","2017","18.1"
"Arkansas","Adults with AMI who are Uninsured","Number","Number","2017","83000"
"Arkansas","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","1.91"
"Arkansas","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","41"
"Arkansas","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","146714"
